ACTIVIDAD,Actividad_Resumen,CODIGO_LLAVE,CODIGO_SISA_ORIGINAL,CODIGO_PROGRAMADO_CRUCE,TIPO_CRUCE_MPR,PUNTAJE_CRUCE_MPR,MUNICIPIO,LOCALIDADES_ABASTECIDAS,NOMBRE_SISTEMA,PERSONA_PRESTADORA,NOMBRE_ARO,FUNCIONARIO,FECHA_ACTIVIDAD,ACTA,CONSECUTIVO VISITA,ESTADO,PROGRAMADO,CODIGO_PROGRAMADO_ORIGINAL,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,110576,110576,110576,CODIGO,1.0,ALCALA,LA UNIÓN-EL HIGUERÓN-LA ESTRELLA-EL DINDE,SISTEMA # 5,COOPERATIVA MARAVELEZ ALCALA ESP - SISTEMA # 5,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-08,SHIR08042026,96,ABIERTO,SI,110576,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,ALCALA,(S5) HIGUERON-LA UNION-SAN FELIPE-LA ESTRELLA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,108425,108425,108425,CODIGO,1.0,YOTOCO,PUENTETIERRA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-08,VP-08042026,104,ABIERTO,SI,108425,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,LA BOHEMIA - CORREGIMIENTO PUENTE TIERRA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,66187,66187,66187,CODIGO,1.0,RIOFRIO,LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-07,DM0407,129,ABIERTO,SI,66187,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,RIOFRIO,LOS ALPES,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,66187,66187,66187,CODIGO,1.0,RIOFRIO,LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-07,DM-07042026,101,ABIERTO,SI,66187,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,RIOFRIO,LOS ALPES,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,34631,120464,34631,TEXTO,1.0,DAGUA,VEREDA LAS DELICIAS PARTE ALTA,PTAP DELICIAS ALTA,ASOCIACION DE USUARIOS DE ACUEDUCTO VEREDA LAS DELICIAS - ASAD ESP - PARTE ALTA,Aro Sur Cali,DIEGO FERNANDO HOYOS TABORDA,2026-06-10,MPRDA01,154,ABIERTO,SI,34631,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,LAS DELICIAS,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,88298,88298,88298,CODIGO,1.0,LA VICTORIA,CORREGIMIENTOMIRAVALLES,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES-ACUAMIR,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES- ACUAMIR,Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-27,AMM27042026,131,ABIERTO,SI,88298,ANA MILENA MENDEZ ARANA,CARTAGO,LA VICTORIA,MIRAVALLES,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,97356,97356,97356,CODIGO,1.0,LA VICTORIA,VEREDA SIBERIA,ACUEDUCTO RURAL LA SIBERIA,ACUEDUCTO RURAL VEREDA LA SIBERIA,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-05-20,ERJ20052026,138,ABIERTO,SI,97356,ANA MILENA MENDEZ ARANA,CARTAGO,LA VICTORIA,LA SIBERIA,NO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,46017,46017,46017,CODIGO,1.0,DAGUA,EL CHIPRE KM 27,ASOCHIPRE,"ASOCIACION COMUNITARIA DE ACUEDUCTO DE CHIPRE, ASOCHIPRE",Aro Sur Cali,DIEGO FERNANDO HOYOS TABORDA,2026-05-23,MPRCHI01,140,ABIERTO,SI,46017,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,CHIPRE,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,15191,15191,15191,CODIGO,1.0,ULLOA,BERLIN,SISTEMA # 2 - BERLIN ,ADMINISTRACION COOPERATIVA ULLOA E.S.P - SISTEMA #2  BERLIN - MOCTEZUMA ,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-22,SHIR22042026,123,ABIERTO,SI,15191,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,ULLOA,SISTEMA # 2 - BERLIN,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,60383,60383,60383,CODIGO,1.0,ROLDANILLO,VEREDA LA SOLEDAD,ASOCIACION  COMUNITARIA ADMINISTRADORA ACUEDUCTO LA SOLEDAD,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO LA VEREDA LA SOLEDAD,Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-17,AMM170426,128,ABIERTO,SI,60383,ANA MILENA MENDEZ ARANA,CARTAGO,ROLDANILLO,LA SOLEDAD,SI
