anio,mes,codigo_dane,municipio,area_operativa,latitud,longitud,fecha,especie,condicion,vacuna,lote,vacunaciones
2026,6,76233,DAGUA,ARO SUR CALI,3.56977,-76.64632,2026-06-05,SIN DATO,SIN DATO,SIN DATO,SIN DATO,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56978,-76.64627,2026-06-05,FELINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56978,-76.64628,2026-06-05,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56978,-76.64631,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56979,-76.64627,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56979,-76.64627,2026-06-05,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.5698,-76.64642,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56987,-76.64645,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57012,-76.64458,2026-06-05,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57012,-76.64458,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57018,-76.64455,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57032,-76.64484,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57033,-76.64482,2026-06-05,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57033,-76.64482,2026-06-05,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57048,-76.645,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57052,-76.64493,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57054,-76.64494,2026-06-05,CANINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57054,-76.64494,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57057,-76.64496,2026-06-05,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.57058,-76.64496,2026-06-05,CANINO,REVACUNADO,RABICAN,RAC261,1
