anio,anio_evento,mes,codigo_dane,municipio,area_operativa,especie,sector,provocado,condicion_vacunacion,seguimiento_3_visitas,estado_animal,eventos
2026,2025,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2025,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76377,LA CUMBRE,ARO SUR CALI,FELINO,URBANO,SI,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76400,LA UNION,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76400,LA UNION,ARO NORTE CARTAGO,CANINO,RURAL,SI,NO VACUNADO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76400,LA UNION,ARO NORTE CARTAGO,CANINO,URBANO,NO,VACUNADO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76400,LA UNION,ARO NORTE CARTAGO,CANINO,URBANO,NO,VACUNADO,2 VISITAS,NO OBSERVABLE,1
2026,2025,12,76400,LA UNION,ARO NORTE CARTAGO,CANINO,URBANO,SI,VACUNADO,CUMPLE,OBSERVADO SANO,1
2026,2025,12,76400,LA UNION,ARO NORTE CARTAGO,FELINO,URBANO,SI,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76403,LA VICTORIA,ARO NORTE CARTAGO,CANINO,URBANO,NO,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76497,OBANDO,ARO NORTE CARTAGO,CANINO,RURAL,SI,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025,12,76497,OBANDO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76497,OBANDO,ARO NORTE CARTAGO,CANINO,URBANO,SI,DESCONOCIDO,2 VISITAS,OBSERVADO SANO,1
2026,2025,12,76497,OBANDO,ARO NORTE CARTAGO,FELINO,RURAL,SI,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76563,PRADERA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,24
2026,2025,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,2
2026,2025,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,SI,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025,12,76563,PRADERA,ARO SUR CALI,FELINO,URBANO,NO,NO VACUNADO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76606,RESTREPO,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76606,RESTREPO,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76606,RESTREPO,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76606,RESTREPO,ARO CENTRO TULUA,FELINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,1
2026,2025,12,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025,12,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025,12,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025,12,76616,RIOFRIO,ARO CENTRO TULUA,FELINO,URBANO,NO,NO VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025,12,76616,RIOFRIO,ARO CENTRO TULUA,OTRO,URBANO,NO,NO VACUNADO,1 VISITA,SIN CLASIFICAR,1
