anio,fecha_apertura,fecha_agresion,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,eventos
2026,2026-01-09,2025-12-21,1,76377,LA CUMBRE,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-09,2025-12-22,1,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-09,2026-01-01,1,76670,SAN PEDRO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-09,2026-01-02,1,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-09,2026-01-05,1,76670,SAN PEDRO,ARO CENTRO TULUA,FELINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-09,2026-01-06,1,76670,SAN PEDRO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-09,2026-01-07,1,76377,LA CUMBRE,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-10,2026-01-11,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-12,2026-01-06,1,76020,ALCALA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-12,2026-01-06,1,76020,ALCALA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-12,2026-01-08,1,76020,ALCALA,ARO NORTE CARTAGO,CANINO,2 VISITAS,2 VISITAS,OBSERVADO SANO,1
2026,2026-01-13,2026-01-05,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,CALLEJERO,1
2026,2026-01-13,2026-01-07,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-13,2026-01-07,1,76616,RIOFRIO,ARO CENTRO TULUA,FELINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-13,2026-01-07,1,76616,RIOFRIO,ARO CENTRO TULUA,OTRO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
