ID_SEDE_IRCA;COD_DANE;MUNICIPIO_BASE;NOMBRE_SEDE_BASE;MEN_COINCIDE;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_TOTAL_MATRICULA;MEN_LATITUD;MEN_LONGITUD;MEN_COORDENADA_VALIDA;USO_COORDENADA_MEN;USO_MATRICULA_MEN
49;276113000631;BUGALAGRANDE;I.E. DIEGO RENGIFO SALAZAR SEDE CAMILO TORRES;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
50;276122000295;CAICEDONIA;I.E. SAGRADO CORAZON DE JESUS SEDE SAN ISIDRO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.977;2.019;IE SAGRADO CORAZON DE JESUS;SEDE SAN ISIDRO;62;4.39;-75.82;SI;NO;NO
51;276670000171;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA.  SEDE RAFAEL ALBERTO MARMOLEJO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
52;276670000384;SAN PEDRO;I.E JOSE ANTONIO AGUILERA SEDE NIÑO JESUS DE PRAGA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.936;;;;0;;;NO;NO;NO
53;276100000119;BOLIVAR;ESCUELA POLICARPA SALAVARRIETA N. 30;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
54;276100000402;BOLIVAR;CENTRO EDUCATIVO CENT DOC N. 3 SANTO TOMAS DE AQUINO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE PRIMAVERA;SANTO TOMAS DE AQUINO;64;4.36;-76.26;SI;NO;NO
55;276100000062;BOLIVAR;ESCUELA LUIS LORZA N. 35;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE PRIMAVERA;LUIS LORZA;14;4.35;-76.29;SI;NO;NO
56;276100000704;BOLIVAR;INSTITUCION EDUCATIVA BETANIA;NO;SIN_COINCIDENCIA_FUERTE;0.421;;;;0;;;NO;NO;NO
57;276100000038;BOLIVAR;ESCUELA DIVINO ECCE HOMO N. 37;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE BETANIA;DIVINO ECCE HOMO;64;4.44;-76.31;SI;NO;NO
58;276126000559;CALIMA;I.E. SIMON BOLIVAR SEDE LLANITOS;NO;SIN_CANDIDATOS_MUNICIPIO;;;;;0;;;NO;NO;NO
59;276377000141;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE MANUELA BELTRAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.931;;;;0;;;NO;NO;NO
60;276377000311;LA CUMBRE;I.E. LA LIBERTAD SEDE LA LIBERTAD;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE LA LIBERTAD;LA LIBERTAD;19;3.58;-76.59;SI;NO;NO
61;276377000078;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE FRANCISCO DE PAULA SANTANDER;SI;COINCIDENCIA_NOMBRE_FUERTE;0.945;2.019;IE FRANCISCO DE PAULA SANTANDER;FRANCISCO DE PAULA SANTANDER;657;3.65;-76.57;SI;SI;NO
62;276377000264;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE POLICARPA SALAVARRIETA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.939;;;;0;;;NO;NO;NO
63;176377000049;LA CUMBRE;I.E. SAN PIO X SEDE JOSE MARIA CORDOBA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
64;176377000014;LA CUMBRE;I.E. SIMON BOLIVAR SEDE SIMON BOLIVAR (PRINCIPAL);SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SAN PIO X;SIMON BOLIVAR;48;3.63;-76.58;SI;NO;NO
65;276377000132;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE JORGE ROBLEDO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
66;276377000094;LA CUMBRE;I.E. LA LIBERTAD SEDE LAUREANO GOMEZ;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
67;176377000251;LA CUMBRE;I.E. SAN PIO X SEDE PRINCIPAL;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SAN PIO X;SAN PIO X;424;3.65;-76.57;SI;SI;NO
68;276377000281;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE EDUARDO SANTOS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
69;276377000272;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE RICARDO NIETO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
70;276377000191;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE ATANASIO GIRARDOT;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
71;276828000166;BOLIVAR;CENTRO EDUCATIVO CENT DOC ANTONIO NARIÑO N. 16;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
72;176377000057;LA CUMBRE;I.E. SIMON BOLIVAR SEDE MARCO FIDEL SUAREZ;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
73;276377000124;LA CUMBRE;I.E. SIMON BOLIVAR SEDE ANTONIO NARIÑO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
74;276377000116;LA CUMBRE;I.E. SAN PIO X SEDE CRISTOBAL COLON;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
75;276377000221;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE SANTA TERESITA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
76;276377000396;LA CUMBRE;I.E. LA LIBERTAD SEDE JOSE JOAQUIN JARAMILLO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
77;176377000014;LA CUMBRE;I.E. SAN PIO X SEDE SIMON BOLIVAR;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
78;276377000329;LA CUMBRE;I.E. LA LIBERTAD SEDE JOSE ANTONIO GALAN;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
79;276377000167;LA CUMBRE;I.E. LA LIBERTAD SEDE CRISTO REY;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
80;276377000248;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE HELIODORO AGUADO;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
81;276377000353;LA CUMBRE;I.E. LA LIBERTAD SEDE CONCENTRACION DE DESARROLLO RURAL;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932;;;;0;;;NO;NO;NO
82;;FLORIDA;HOGAR ICBF REY LEON;NO;SIN_COINCIDENCIA_FUERTE;0.45;;;;0;;;NO;NO;NO
83;;FLORIDA;HOGAR INFANTIL LAS ABEJITAS;NO;SIN_COINCIDENCIA_FUERTE;0.571;;;;0;;;NO;NO;NO
84;276275000871;FLORIDA;I.E. JOSE MARIA CORDOBA SEDE SATELITE LAS AMERICAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
85;276275000154;FLORIDA;I.E. JOSE MARIA CORDOBA SEDE JOSE MARIA CORDOBA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JOSE MARIA CORDOBA;JOSE MARIA CORDOBA;85;3.29;-76.22;SI;NO;NO
86;276736000674;SEVILLA;I.E MARIA AUXILIADORA SEDE JOSE MARIA CARBONEL;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
87;276243000390;EL AGUILA;I.E SANTA MARTA SEDE SAN LUIS BELTRAN;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE SANTA MARTA;SAN LUIS BELTRAN;18;4.91;-76.06;SI;NO;NO
88;276400000218;LA UNION;I.E QUEBRADAGRANDE SEDE LUIS ALFONSO VINASCO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;I.E. QUEBRADAGRANDE;LUIS ALFONSO VINASCO;6;4.57;-76.11;SI;NO;NO
89;276246000447;EL CAIRO;I.E GILBERTO ALZATE SEDE RUFINO JOSE CUERVO;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE GILBERTO ALZATE AVENDAÑO;RUFINO JOSE CUERVO;24;4.74;-76.17;SI;NO;NO
90;276100000160;BOLIVAR;ESCUELA SAN JUAN BAUTISTA N. 24;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE PRIMAVERA;SAN JUAN BAUTISTA;9;4.36;-76.25;SI;NO;NO
91;276233001053;DAGUA;I.E. MIGUEL ANTONIO CARO SEDE PAULO VI;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93;;;;0;;;NO;NO;NO
92;276041000517;ANSERMANUEVO;I.E JORGE ISAAC SEDE JOSE ACEVEDO Y GOMEZ;SI;COINCIDENCIA_NOMBRE_FUERTE;0.935;2.019;IE JORGE ISAACS;JOSE ACEVEDO Y GOMEZ;11;4.79;-76.11;SI;NO;NO
93;276606000109;RESTREPO;I.E. JOSE FELIX RESTREPO SEDE POLICARPA SALAVARRIETA;SI;COINCIDENCIA_NOMBRE_FUERTE;0.93;2.019;IE JOSE FELIX RESTREPO;POLICARPA SALAVARRIETA;10;3.85;-76.52;SI;NO;NO
94;276233000553;DAGUA;I.E. SANTA TERESITA DEL NIÑO JESUS SEDE NUESTRA SEÑORA DE FATIMA;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.942;;;;0;;;NO;NO;NO
