ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;CANDIDATOS_POR_CODIGO;CANDIDATOS_POR_NOMBRE;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION
743;276622000534;ROLDANILLO;I.E NUESTRA SEÑORA DE CHIQUINQUIRA SEDE TOMAS IGNACIO ESQUIVEL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
744;176622000149;ROLDANILLO;I.E NUESTRA SEÑORA DE CHIQUINQUIRA SEDE JHON F. KENEDY;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
745;276622000160;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE JOSEFITA PEÑA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
746;276622000178;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE JOSE ACEVEDO Y GOMEZ;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
747;176622000068;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE BELISARIO PEÑA PIÑEIRO;2;1;COD_DANE_DUPLICADO+NOMBRE_EXACTO;CRUCE_OK_CONTROLADO;GEORREFERENCIADA;
748;276622000313;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE MARCO FIDEL SUAREZ;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
749;;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE ATANASIO GIRARDOT-FUNDACION PRODESARROLLO COMUNITARIO;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;GEORREFERENCIADA;
750;276622000577;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE BELISARIO PEÑA PIÑEIRO SATELITE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
751;276622000283;ROLDANILLO;IE RORIGO LLOREDA CAICEDO SEDE MIGUEL ANTONIO CARO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
752;;ROLDANILLO;I.E NORMAL SUPERIOR JORGE ISAAC SEDE PRINCIPAL;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
753;;ROLDANILLO;I.E. SEÑORA DE CHIQUINQUIRA SEDE PRINCIPAL - ACCION POR COLOMBIA;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
754;176622000882;ROLDANILLO;I.E. BELISARIO PEÑA PIÑEIRO SEDE DIVINO NIÑO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
