CODIGO_SISA_ACUEDUCTO;NOMBRE_ACUEDUCTO;MUNICIPIOS;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_ALTO_INVIABLE;SEDES_CON_BRECHA;PRIORIDAD_MAXIMA;PRIORIDAD_PROMEDIO
3465;ACUEDUCTO RURAL VEREDA LA MARIA;EL DOVIO;1;9;1;9;0;69.05;69.05
347;JUNTA ADMINISTRADORA DEL ACUEDUCTO LOS MEDIOS - ASOMEDIOS;GINEBRA;1;9;1;9;0;59.5;59.5
3498;EMPRESA COMUNAL SOLIDARIA SANTA CLARA DE LOS ACUEDUCTOS 1 Y 2 LLANOGRANDE 1;EL AGUILA;1;9;1;9;0;55.3;55.3
3501;ASOCIACION DE USUARIOS DEL ACUEDUCTO CAÑAVERAL;EL AGUILA;1;9;1;9;0;55.3;55.3
3549;ASOCIACION DE USUARIOS DE ABASTO DE AGUA RIN RAN;TRUJILLO;1;9;1;9;0;55.3;55.3
4491;ACUEDUCTO RURAL LA CRISTALINA;CALIMA;1;9;1;9;0;69.05;69.05
528;JUNTA DE ADMINISTRACIÓN COMUNAL LA ESPERANZA;ANSERMANUEVO;1;9;1;9;0;69.05;69.05
540;ADMINISTRACION COOPERATIVA SEVILLA ESP-MANZANILLO;SEVILLA;1;9;1;9;0;55.3;55.3
6791;ACUEDUCTO RURAL LA ITALIA ACUAITALIA;RIOFRIO;1;9;1;9;0;69.05;69.05
S.D;SIN NOMBRE DE ACUEDUCTO;BOLIVAR;1;9;1;9;1;57.3;57.3
140;JUNTA ADMINISTRADORA COMUNITARIA DEL ACUEDUCTO JACA NO. 4 DE LA VEREDA SANTA ANA MUNICIPIO DE VIJES;VIJES;1;8;1;8;0;59.21;59.21
170;JUNTA DE ACCION COMUNAL VEREDA LIMONES - ASODELIMO;CAICEDONIA;1;8;1;8;0;68.76;68.76
1896;ACUEDUCTO RURAL VEREDA BOLÍVAR;TORO;1;8;1;8;0;68.76;68.76
2620;JUNTA ADMINISTRADORA ACUEDUCTO CRUCES;OBANDO;1;8;1;8;0;68.76;68.76
3394;JUNTA ADMINISTRADORA ACUEDUCTO LA BELMIRA;RESTREPO;1;8;1;8;0;55.01;55.01
14100;ASOCIACION GESTORA COMUNITARIA DEL APROVISIONAMIENTO DE AGUA DE LA VEREDA EL DIAMANTE;RESTREPO;1;7;1;7;0;51.09;51.09
16655;JUNTA DE ACCIÓN COMUNAL POSITOS;SAN PEDRO;1;7;1;7;0;68.44;68.44
1951;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA COCONUCO;VERSALLES;1;7;1;7;0;68.44;68.44
2162;JUNTA ADMINISTRADORA ACUEDUCTO CANOAS;SEVILLA;1;7;1;7;0;64.84;64.84
229;ASOCIACION DE USUARIOS ACUEDUCTO RURAL COMUNITARIO FLORESTA LA LUISA;TRUJILLO;1;7;1;7;0;68.44;68.44
2606;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO VEREDA SANTA MARTA;EL AGUILA;1;7;1;7;0;64.84;64.84
3282;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA ALTO DEL RECREO;SEVILLA;1;7;1;7;0;54.69;54.69
3393;ASOCIACION DE SUSCRIPTRORES DEL SISTEMA DE SUMINISTRO DE AGUA RURAL COMUNITARIA DE LA VEREDA LA ALBANIA - ASOAGUALBANIA;RESTREPO;1;7;1;7;0;54.69;54.69
343;ACUEDUCTO COMUNITARIO PROVIDENCIA SECTOR LA ESTRELLA - ACUAESTRELLA;DAGUA;1;7;1;7;0;58.89;58.89
3704;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL CAMPESINO DE LA VEREDA LA CRISTALINA;RIOFRIO;1;7;1;7;0;68.44;68.44
9016;JUNTA ADMINISTRADORA ACUEDUCTO BAJO BOLEO;CALIMA;1;7;1;7;0;68.44;68.44
SIN CODIGO SISA;ACUEDUCTO RURAL TETILLAL;BUGALAGRANDE;1;7;1;7;0;54.69;54.69
SIN CODIGO SISA;JUNTA ADMINISTRADORA ACUEDUCTO RURAL LA MORENA;BUGALAGRANDE;1;7;1;7;0;54.69;54.69
1010;JUNTA ADMINISTRADORA ACUEDUCTO RURAL LA PALMERA;EL CAIRO;1;6;1;6;0;54.33;54.33
1119;ASOCIACION RURAL COMUNITARIA DE AGUA POTABLE Y SANEAMIENTO BASICO DEL CORREGIMIENTO DE ALTA FLOR - ACUAFLOR;ANDALUCÍA;1;6;1;6;0;54.33;54.33
11623;ASOCIACION DE USUARIOS ACUEDUCTO ALTO CRISTALES;TRUJILLO;1;6;1;6;0;54.33;54.33
