ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;NIVEL_RIESGO_IRCA;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;ESTUDIANTES_ACTUAL_FINAL;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;MEN_METODO_CRUCE;MEN_SCORE_CRUCE
42;276403000146;LA VICTORIA;I.E NUESTRA SEÑORA DE LA PAZ SEDE CAMILO TORRES;SIN RIESGO;10;10;0;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932
43;276606000494;RESTREPO;IE JULIO FERNANDEZ MEDINA SEDE 20 DE JULIO;BAJO;10;14;182;10;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.98
44;276233000189;DAGUA;I.E. CRISTOBAL COLON SEDE SAN ANTONIO;SIN RIESGO;24;24;0;24;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
45;276670000449;SAN PEDRO;I.E JULIO CAICEDO TELLEZ SEDE SIMON BOLIVAR;INVIABLE SANITARIAMENTE;0;10;0;10;SEDESUESVALLE;COMPLEMENTADA_CON_SEDESUESVALLE;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
46;276863000080;VERSALLES;I.E CARLOS HOLGUIN SARDI SEDE SAN ROQUE;SIN DATO;6;6;0;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
47;276113000151;BUGALAGRANDE;I.E. ANTONIO NARIÑO SEDE CRISTOBAL COLON (I.D);MEDIO;8;9;0;8;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
48;276113000142;BUGALAGRANDE;I.E. ANTONIO NARIÑO SEDE MANUELA BELTRAN;SIN RIESGO;8;8;0;8;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
49;276113000631;BUGALAGRANDE;I.E. DIEGO RENGIFO SALAZAR SEDE CAMILO TORRES;SIN DATO;17;16;0;17;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
50;276122000295;CAICEDONIA;I.E. SAGRADO CORAZON DE JESUS SEDE SAN ISIDRO;MEDIO;36;44;62;36;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.977
51;276670000171;SAN PEDRO;I.E. JOSE ANTONIO AGUILERA.  SEDE RAFAEL ALBERTO MARMOLEJO;SIN RIESGO;0;39;0;39;SEDESUESVALLE;COMPLEMENTADA_CON_SEDESUESVALLE;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
52;276670000384;SAN PEDRO;I.E JOSE ANTONIO AGUILERA SEDE NIÑO JESUS DE PRAGA;SIN RIESGO;23;32;0;23;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.936
53;276100000119;BOLIVAR;ESCUELA POLICARPA SALAVARRIETA N. 30;SIN RIESGO;4;6;0;4;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
54;276100000402;BOLIVAR;CENTRO EDUCATIVO CENT DOC N. 3 SANTO TOMAS DE AQUINO;SIN RIESGO;0;55;64;55;SEDESUESVALLE;COMPLEMENTADA_CON_SEDESUESVALLE;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
55;276100000062;BOLIVAR;ESCUELA LUIS LORZA N. 35;SIN RIESGO;6;7;14;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
56;276100000704;BOLIVAR;INSTITUCION EDUCATIVA BETANIA;ALTO;33;0;0;33;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;SIN_COINCIDENCIA_FUERTE;0.421
57;276100000038;BOLIVAR;ESCUELA DIVINO ECCE HOMO N. 37;ALTO;25;27;64;25;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
