ID_MAESTRO;CODIGO_SISTEMA;MUNICIPIO;AMBITO;TIPO_SISTEMA;ARO;PERSONA_PRESTADORA;LOCALIDADES_ABASTECIDAS;SUSCRIPTORES;POBLACION;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;ESTADO_MAESTRO;LATITUD;LONGITUD;VALIDACION_SISTEMA
ACUEDUCTO_0061;117594;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO LA TULIA PORVENIR;LA TULIA;80.0;320.0;Solo desinfección;0;ACTIVO;4.391014;-76.24426;EXISTENTE
ACUEDUCTO_0062;58632;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA LA PLAZUELA;LA PLAZUELA;60.0;240.0;Solo desinfección;0;ACTIVO;4.390367;-76.24296;EXISTENTE
ACUEDUCTO_0063;112140;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS AGUAS LINDAS Y BUENOS AIRES;AGUAS LINDAS;61.0;244.0;Ninguno;0;ACTIVO;4.411886;-76.32549;EXISTENTE
ACUEDUCTO_0064;65809;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL DE LAS VEREDAS EL BOSQUE LA ALDANA;LA ALDANA;42.0;168.0;Solo desinfección;0;ACTIVO;4.359753;-76.24526;EXISTENTE
ACUEDUCTO_0065;58630;BOLIVAR;Rural;DISPERSA;Centro Tuluá;ASOCIACION DE USUARIOS DEL SERVICIO COMUNITARIO DE LA MONTAÑUELA - AUSCRAALMA;LA MONTAÑUELA;70.0;280.0;Solo desinfección;0;ACTIVO;4.328333;-76.22583;EXISTENTE
ACUEDUCTO_0066;58631;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE PRIMAVERA;PRIMAVERA;490.0;1960.0;FIME;1;ACTIVO;4.353333;-76.2639;EXISTENTE
ACUEDUCTO_0067;60381;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION USUARIOS ACUEDUCTO COLECTIVO CERRO AZUL;CERRO AZUL, LA SOLEDAD;250.0;1000.0;Solo desinfección;0;ACTIVO;4.279806;-76.28697;EXISTENTE
ACUEDUCTO_0068;122557;BOLIVAR;Rural;DISPERSA;Centro Tuluá;COMITE PROACUEDUCTO CRISTALES;CRISTALES, MORAITO, DOS QUEBRADAS;65.0;260.0;Solo desinfección;0;ACTIVO;4.301117;-76.38045;EXISTENTE
ACUEDUCTO_0069;103477;BOLIVAR;Rural;CENTRO POBLADO;Centro Tuluá;MANANTIALES DE BETANIA MABE;BETANIA;105.0;420.0;Solo desinfección;0;ACTIVO;4.439953;-76.30947;EXISTENTE
ACUEDUCTO_0070;58651;BOLIVAR;Urbano;CABECERA MUNICIPAL;Centro Tuluá;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - BOLIVAR;URBANO, SAN FERNANDO, SAN ANTONIO DE GUARE, PLAZA VIEJA;2100.0;8400.0;Convencional;1;ACTIVO;4.338628;-76.16724;EXISTENTE
ACUEDUCTO_0072;113736;BUGALAGRANDE;Rural;DISPERSA;Centro Tuluá;ACUEDUCTO RURAL ESMERALDA ALTA;ESMERALDA ALTA;27.0;108.0;Ninguno;0;ACTIVO;4.100292;-76.06664;EXISTENTE
ACUEDUCTO_0074;60314;BUGALAGRANDE;Rural;CENTRO POBLADO;Centro Tuluá;ASOCIACION AGUAS DE GALICIA;GALICIA;350.0;1400.0;FD+Desinfección;1;ACTIVO;4.172831;-76.05827;EXISTENTE
