CODIGO_SISTEMA,MUNICIPIO,PERSONA_PRESTADORA,SISTEMA_DISTRIBUCION,CLASIFICACION_URBANO_RURAL,ARO,TIPO_SISTEMA,TIPO_DISPOSITIVO_AJUSTADO,LATITUD,LONGITUD,MUESTRAS,ANIOS,IRCA_PROMEDIO,IRCA_MAXIMO,NIVEL_RIESGO,VALIDACION_SISTEMA,PARAMETROS_NO_ACEPTABLES,TOTAL_NO_ACEPTABLES
62251,BOLIVAR,ASOCIACION DEL SERVICIO COMUNITARIO RURAL DEL AGUA DE LA VEREDA PUNTA LARGA MUNICIPIO DE BOLIVAR VALLE DEL CAUCA - AUSCRAP -,ACUEDUCTO PUNTA LARGA,Rural,Centro Tuluá,DISPERSA,Grifo,4.328061,-76.27541,16,"2020, 2021, 2022, 2023, 2024, 2025, 2026",35.615625,91.02,INVIABLE SANITARIAMENTE,EXISTENTE,5,42
113719,BOLIVAR,CORPORACION PARA EL DESARROLLO SOCIALAMBIENTAL TURISTICO CULTURAL ECONOMICO Y AGROPECUARIO DE SAN ISIDRO - CORPOSANISIDRO,ACUEDUCTO SAN ISIDRO,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,4.284747,-76.3064,14,"2020, 2021, 2022, 2023, 2024, 2025",10.250714285714285,48.6,ALTO,EXISTENTE,6,21
58630,BOLIVAR,ASOCIACION DE USUARIOS DEL SERVICIO COMUNITARIO RURAL DE AGUA Y ALCANTARILLADO LA MONTAÑUELA MUNICIPIO DE BOLIVAR - AUSCRAALMA,ACUEDUCTO Y ALCANTARILLADO MONTAÑUELA,Rural,Centro Tuluá,DISPERSA,Grifo,4.328333,-76.22583,14,"2020, 2021, 2022, 2023, 2024, 2025, 2026",42.29642857142857,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,5,47
62095,BOLIVAR,ASOCIACIÓN DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE RICAURTE VALLE - ASERCOM,ACUEDUCTO Y ALCANTARILLADO RICAURTE,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.309453,-76.20946,25,"2020, 2021, 2022, 2023, 2024, 2025, 2026",1.0439999999999998,17.54,MEDIO,EXISTENTE,4,8
58632,BOLIVAR,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA LA PLAZUELA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA LA PLAZUELA,Rural,Centro Tuluá,DISPERSA,Grifo,4.390367,-76.24296,16,"2020, 2021, 2022, 2023, 2024, 2025, 2026",72.833125,89.94,INVIABLE SANITARIAMENTE,EXISTENTE,6,77
65809,BOLIVAR,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL DE LAS VEREDAS EL BOSQUE LA ALDANA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL DE LAS VEREDAS EL BOSQUE LA ALDANA,Rural,Centro Tuluá,DISPERSA,Grifo,4.359753,-76.24526,13,"2020, 2021, 2022, 2023, 2024, 2025, 2026",66.30384615384615,92.4,INVIABLE SANITARIAMENTE,EXISTENTE,7,64
61920,BOLIVAR,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL LA REFORMA LA AGUADA BOLIVAR,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL LA REFORMA LA AGUADA BOLIVAR,Rural,Centro Tuluá,DISPERSA,Grifo,4.379042,-76.22577,17,"2020, 2021, 2022, 2023, 2024, 2025, 2026",49.59176470588235,90.37,INVIABLE SANITARIAMENTE,EXISTENTE,6,61
60116,BOLIVAR,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA TULIA,LA TULIA,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.386394,-76.245,21,"2020, 2021, 2022, 2023, 2024, 2025, 2026",24.39428571428571,80.29,INVIABLE SANITARIAMENTE,EXISTENTE,6,38
117594,BOLIVAR,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA TULIA,LA TULIA-EL PORVENIR,Rural,Centro Tuluá,DISPERSA,Grifo,4.391014,-76.24426,14,"2020, 2021, 2022, 2023, 2024, 2025, 2026",32.27214285714286,89.05,INVIABLE SANITARIAMENTE,EXISTENTE,6,38
58652,BUGALAGRANDE,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-BUGALAGRANDE,ACUAVALLE S.A. E.S.P. - BUGALAGRANDE,Urbano,Centro Tuluá,CABECERA MUNICIPAL,Grifo,4.202783,-76.16029,151,"2020, 2021, 2022, 2023, 2024, 2025, 2026",0.13788079470198675,7.02,BAJO,EXISTENTE,2,3
113607,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN ISIDRO - ASUASANIS,ACUECUTO DE LA VEREDA SAN ISIDRO,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,4.114444,-76.01669,12,"2020, 2021, 2022, 2023, 2024, 2025, 2026",24.183333333333334,90.91,INVIABLE SANITARIAMENTE,EXISTENTE,5,17
120420,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE CAMPO ALEGRE DE CEYLAN,ACUEDUCTO CAMPO ALEGRE DE CEYLAN,Rural,Centro Tuluá,DISPERSA,Grifo,4.219431,-76.06784,6,"2020, 2021, 2022, 2023, 2024, 2025",31.235,64.33,ALTO,EXISTENTE,3,13
64193,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO DE CHORRERAS MUNICIPIO DE BUGALAGRANDE - ASUACH,ACUEDUCTO CHORRERAS - ASUACH,Rural,Centro Tuluá,DISPERSA,Grifo,4.159742,-75.84171,6,"2020, 2022, 2023, 2024",28.05333333333333,88.65,INVIABLE SANITARIAMENTE,EXISTENTE,5,17
124821,BUGALAGRANDE,ACUEDUCTO CIELO ROTO,ACUEDUCTO CIELO ROTO,Rural,Centro Tuluá,DISPERSA,Grifo,,,4,"2020, 2021, 2023, 2024",67.045,89.47,INVIABLE SANITARIAMENTE,EXISTENTE,5,17
60312,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO EL GUAYABO,ACUEDUCTO EL GUAYABO,Rural,Centro Tuluá,DISPERSA,Grifo,4.244167,-76.18197,20,"2020, 2021, 2022, 2023, 2024, 2025, 2026",47.261,73.91,ALTO,EXISTENTE,12,96
58940,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE DEL ACUEDUCTO Y ALCANTARILLADO DE MESTIZAL,ACUEDUCTO EL MESTIZAL,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.228908,-76.16225,21,"2020, 2021, 2022, 2023, 2024, 2025, 2026",18.21095238095238,57.36,ALTO,EXISTENTE,12,87
20353,BUGALAGRANDE,ACUEDUCTO LA BETULIA,ACUEDUCTO LA BETULIA,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,,,4,"2024, 2025, 2026",74.2125,94.57,INVIABLE SANITARIAMENTE,VALIDAR SISTEMA,5,18
58633,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE PAILA ARRIBA,ACUEDUCTO PAILA ARRIBA,Rural,Centro Tuluá,CENTRO POBLADO,Grifo,4.236411,-76.03446,18,"2020, 2021, 2022, 2023, 2024, 2025, 2026",54.550555555555555,100.0,INVIABLE SANITARIAMENTE,EXISTENTE,10,75
113605,BUGALAGRANDE,ACUEDUCTO RURAL EL PLACER,ACUEDUCTO RURAL EL PLACER,Rural,Centro Tuluá,DISPERSA,Grifo,,,4,"2021, 2022, 2023",86.9725,92.36,INVIABLE SANITARIAMENTE,EXISTENTE,6,31
113736,BUGALAGRANDE,ACUEDUCTO RURAL LA ESMERALDA ALTA,ACUEDUCTO RURAL LA ESMERALDA ALTA,Rural,Centro Tuluá,DISPERSA,Grifo,4.100292,-76.06664,4,"2020, 2022, 2023, 2024",69.925,86.52,INVIABLE SANITARIAMENTE,EXISTENTE,5,18
60313,BUGALAGRANDE,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE SAN ANTONIO,ACUEDUCTO SAN ANTONIO,Rural,Centro Tuluá,DISPERSA,Grifo,4.228894,-76.21528,18,"2020, 2021, 2022, 2023, 2024, 2025, 2026",18.733888888888888,40.24,ALTO,EXISTENTE,8,65
103052,BUGALAGRANDE,ASOCIACION DE USUARIOS ASODIS ALTO BONITO,ASOCIACION DE USUARIOS ASODIS ALTO BONITO,Rural,Centro Tuluá,DISPERSA,Grifo,4.112361,-76.00314,8,"2020, 2022, 2023, 2024, 2025, 2026",51.3775,82.84,INVIABLE SANITARIAMENTE,EXISTENTE,4,24
112154,BUGALAGRANDE,ASOCIACION DE USUARIOS DE ALMENDRONAL,ASOCIACION DE USUARIOS DE ALMENDRONAL,Rural,Centro Tuluá,DISPERSA,Grifo,4.149033,-76.06788,3,"2021, 2023, 2024",88.46666666666665,88.98,INVIABLE SANITARIAMENTE,EXISTENTE,6,20
