codigo_dane_fuente,municipio,aro_uesvalle,sector,necesidad,equipos_elementos,costo_estimado,estado_informacion,fila_fuente,columnas_fuente
76122,Caicedonia,ARO Centro - Tuluá,Prioridad general,"Apoyo con ayudas humanitarias, maquinaria. Múltiples afectaciones a edificaciones, derrumbes en zonas rurales
sin servicio de energía eléctrica, algunos cortes de gas.
Afectaciones: viviendas edificios estructurales vías y derrumbes.

Por Solicitud de la Alcaldesa Necesidades:
- Plantas eléctricas 
- ⁠tejas de zinc
- ⁠cuartones
- ⁠guadua 
- ⁠brazadas
- ⁠víveres",,,REPORTADO,14,JR
76122,Caicedonia,ARO Centro - Tuluá,CRUE,"EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR, Caicedonia trabajando 90% de capacidad porque solo contamos con 1 ambulancia, afectaciones estructurales en proceso de reparación",,,REPORTADO,14,JS
76126,Calima (El Darién),ARO Centro - Tuluá,Salud,Sin necesidades prioritarias,,,REPORTADO,15,Y
76126,Calima (El Darién),ARO Centro - Tuluá,Edificaciones públicas,"En valoración, no reportan información.","3 plantas electricas, telecomunicaciones radios,",,REPORTADO,15,BR-BS-BT
76126,Calima (El Darién),ARO Centro - Tuluá,Telecomunicaciones,,"radiotelefonos, telefonos satelitales por falta de señal",,REPORTADO,15,DR-DS-DT
76126,Calima (El Darién),ARO Centro - Tuluá,Prioridad general,"Maquinaria , carpas , frazadas , mercados maquinaria , restablecer energía , plantas eléctricas , estufas para los albergues",,,REPORTADO,15,JR
76130,Candelaria,ARO Sur - Cali,Salud,"Hospital Local de Candelaria E.S.E. se necesitaría contar con un stock de labetalol, oxitocina y methergin y catgut cromado 2/0 - LA DISPOCISIÓN EN LA PRESTACIÓN DE SALUD ES PRIORITARIA EN CASOS URGENTES O VITALES A PERSONAS AFECTADAS POR EL SISMO, MEDICINA INTERNA OYCASOS MODERADOS SE ESTÁ ATENDIENDO, COMO APOYO TRANSVERSAL A LA EMERGENCIA SE REALIZA ACTIVIDADES EN CAMPO POR PARTE DEL EQUIPO DE SALUD COMO DONACIÓN DE SANGRE Y ATENCIÓN PSICOLÓGICA",,,REPORTADO,16,Y
76130,Candelaria,ARO Sur - Cali,Edificaciones públicas,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,,REPORTADO,16,BR-BS-BT
76130,Candelaria,ARO Sur - Cali,Telecomunicaciones,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,,REPORTADO,16,DR-DS-DT
76130,Candelaria,ARO Sur - Cali,Transporte,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,,REPORTADO,16,FN-FO-FP
76130,Candelaria,ARO Sur - Cali,Servicios públicos,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,,REPORTADO,16,HM-HN-HO
76130,Candelaria,ARO Sur - Cali,Agropecuario,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,,REPORTADO,16,IJ-IK-IL
76130,Candelaria,ARO Sur - Cali,"Industria, comercio y turismo",ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,ACORDE A LA INFORMACIÓN PARCIAL QUE SE TIENE NO SE HAN DETERMINADOR NECESIDADES Y/O REQUERIMIENTOS PROPIOS SE DEBE ESPERAR AL REPORTE DETERMINADO POR EL EQUIPO DE CAMPO A PUESTO DE MANDO UNIFICADO PARA DILIGENCIAR Y DETERMINAR EL MISMO A PARTIR DE LAS 4:00PM,,REPORTADO,16,JO-JP-JQ
76130,Candelaria,ARO Sur - Cali,Prioridad general,"LA INFORMACIÓN ES RECOLECTADA CON CORTE A 10 DE AGOSTO 7:00PM, PARA EL MUNICIPIO DE CANDELARIA, ACTUALMENTE SE ENCUENTRAN HACIENDO ESTUDIOS PREELIMINARES Y EVALUACIÓN DE DAÑOS Y NECESIDADES QUE SE CONSOLIDARÁN EN EL PUESTO DE MANDO UNIFICADO EL DÍA DE HOY 11 DE AGOSTO DE 2026 A PARTIR DE LAS 4:00PM // ESCENARIO DEPORTIVO LA POLVOROSA DEL CORREGIMIENTO EL CARMELO SE ENCUENTRA CON UNA PARED CAIDA // NO SE CUENTA CON NINGUN TIPO DE SERVICIO SATELITAL // SIN REPORTE SOBRE COMPUTADORES PARA EDUCAR",,,REPORTADO,16,JR
76130,Candelaria,ARO Sur - Cali,CRUE,"POR PREVENCIÓN SE SUSPENDEN LAS CLASES EN TODAS LAS IE DEL MUNICIPIO - Hospital Local de Candelaria E.S.E. sigue funcionando como venía haciéndolo antes del SISMO. - Hospital Local de Candelaria E.S.E. se necesitaría contar con un stock de labetalol, oxitocina y methergin y catgut cromado 2/0
La Sala de Partos está equipada y disponible",,,REPORTADO,16,JS
