id,codigo,municipio,aro,longitud,latitud,tmax_daily_mean_c,tmax_abs_c
ELNINO_0181,345,DAGUA,Sur Cali,-76.70553,3.630083,24.02,25.94
ELNINO_0182,2896,DAGUA,Sur Cali,-76.61889,3.559222,25.15,27.46
ELNINO_0230,4056,DAGUA,Sur Cali,-76.67894,3.737167,24.12,25.65
ELNINO_0184,10804,DAGUA,Sur Cali,-76.69569,3.534972,22.82,24.87
ELNINO_0185,341,DAGUA,Sur Cali,-76.67531,3.736944,24.12,25.65
ELNINO_0186,3422,DAGUA,Sur Cali,-76.68042,3.541417,22.82,24.87
ELNINO_0187,2847,DAGUA,Sur Cali,-76.63107,3.516417,24.57,27.03
ELNINO_0188,3427,DAGUA,Sur Cali,-76.66242,3.594939,24.02,25.94
ELNINO_0189,,DAGUA,Sur Cali,-76.71041,3.608703,24.02,25.94
ELNINO_0190,358,DAGUA,Sur Cali,-76.70906,3.583917,24.02,25.94
ELNINO_0192,3955,DAGUA,Sur Cali,-76.71467,3.546564,22.82,24.87
ELNINO_0192,3955,DAGUA,Sur Cali,-76.71467,3.546564,22.82,24.87
ELNINO_0193,48,DAGUA,Sur Cali,-76.70983,3.530111,22.82,24.87
ELNINO_0194,2900,DAGUA,Sur Cali,-76.66981,3.643667,24.4,26.14
ELNINO_0195,2868,DAGUA,Sur Cali,-76.64699,3.594503,24.02,25.94
ELNINO_0196,3428,DAGUA,Sur Cali,-76.71369,3.561139,24.02,25.94
ELNINO_0197,3954,DAGUA,Sur Cali,-76.71741,3.555139,22.82,24.87
ELNINO_0198,3418,DAGUA,Sur Cali,-76.65913,3.537789,22.82,24.87
ELNINO_0200,13730,DAGUA,Sur Cali,-76.636,3.564239,25.15,27.46
ELNINO_0201,46,DAGUA,Sur Cali,-76.65,3.571653,24.02,25.94
ELNINO_0202,3426,DAGUA,Sur Cali,-76.66908,3.571972,24.02,25.94
ELNINO_0203,2864,DAGUA,Sur Cali,-76.62908,3.618083,25.15,27.46
ELNINO_0204,SD,DAGUA,Sur Cali,-76.78163,3.5795,23.95,25.67
ELNINO_0205,12976,DAGUA,Sur Cali,-76.64765,3.514692,22.82,24.87
ELNINO_0206,12979,DAGUA,Sur Cali,-76.63196,3.566122,25.15,27.46
ELNINO_0210,2863,DAGUA,Sur Cali,-76.63956,3.609611,25.15,27.46
ELNINO_0211,147,DAGUA,Sur Cali,-76.64625,3.599694,24.02,25.94
ELNINO_0212,148,DAGUA,Sur Cali,-76.64647,3.603083,24.02,25.94
ELNINO_0213,3424,DAGUA,Sur Cali,-76.66725,3.544783,22.82,24.87
ELNINO_0214,SD,DAGUA,Sur Cali,-76.63335,3.510064,24.57,27.03
ELNINO_0215,63,DAGUA,Sur Cali,-76.64651,3.577283,24.02,25.94
ELNINO_0216,3420,DAGUA,Sur Cali,-76.66646,3.518831,22.82,24.87
ELNINO_0218,3419,DAGUA,Sur Cali,-76.66528,3.502611,22.82,24.87
ELNINO_0219,1398,DAGUA,Sur Cali,-76.64664,3.778167,24.12,25.65
ELNINO_0220,3421,DAGUA,Sur Cali,-76.67492,3.521111,22.82,24.87
ELNINO_0223,2851,DAGUA,Sur Cali,-76.65353,3.492278,22.82,24.87
ELNINO_0366,2852,DAGUA,Sur Cali,-76.65283,3.519306,22.82,24.87
ELNINO_0680,344,DAGUA,Sur Cali,-76.71553,3.649217,24.4,26.14
ELNINO_0682,3953,DAGUA,Sur Cali,-76.60556,3.561944,25.15,27.46
ELNINO_0683,12977,DAGUA,Sur Cali,-76.6908,3.658406,24.4,26.14
ELNINO_0689,47,DAGUA,Sur Cali,-76.57585,3.565292,25.15,27.46
ELNINO_0224,49,DAGUA,Sur Cali,-76.68886,3.659139,24.4,26.14
ELNINO_0225,3502,EL AGUILA,Norte Cartago,-76.03155,4.928961,25.39,27.25
ELNINO_0167,2615,EL AGUILA,Norte Cartago,-76.0642,4.952156,23.01,24.82
ELNINO_0227,2608,EL AGUILA,Norte Cartago,-76.02971,4.920264,25.39,27.25
ELNINO_0228,5631,EL AGUILA,Norte Cartago,-76.07258,4.878286,25.39,27.25
ELNINO_0229,904,EL AGUILA,Norte Cartago,-76.08634,4.858314,22.74,24.63
ELNINO_0145,2616,EL AGUILA,Norte Cartago,-76.06062,4.955492,23.01,24.82
ELNINO_0231,,EL AGUILA,Norte Cartago,-76.0684,4.872006,25.39,27.25
ELNINO_0232,3501,EL AGUILA,Norte Cartago,-76.04294,4.984017,23.01,24.82
ELNINO_0233,2613,EL AGUILA,Norte Cartago,-76.14246,4.518231,25.45,28.44
ELNINO_0234,901,EL AGUILA,Norte Cartago,-76.09979,4.874994,22.74,24.63
ELNINO_0235,3683,EL AGUILA,Norte Cartago,-76.02068,4.854022,25.39,27.25
ELNINO_0236,915,EL AGUILA,Norte Cartago,-76.08116,4.869781,22.74,24.63
ELNINO_0237,919,EL AGUILA,Norte Cartago,-76.06031,4.860267,25.39,27.25
ELNINO_0238,3500,EL AGUILA,Norte Cartago,-76.03749,4.969869,23.01,24.82
ELNINO_0239,3497,EL AGUILA,Norte Cartago,-76.06308,4.887383,25.39,27.25
ELNINO_0240,3498,EL AGUILA,Norte Cartago,-76.05583,4.906111,25.39,27.25
ELNINO_0242,8179,EL AGUILA,Norte Cartago,-76.11458,4.860767,22.74,24.63
ELNINO_0243,,EL AGUILA,Norte Cartago,-76.06234,4.938417,23.01,24.82
ELNINO_0244,6843,EL AGUILA,Norte Cartago,-75.98893,4.912053,25.39,27.25
ELNINO_0245,21217,EL AGUILA,Norte Cartago,-76.05778,4.926389,25.39,27.25
ELNINO_0247,3499,EL AGUILA,Norte Cartago,-76.06359,4.915608,25.39,27.25
ELNINO_0248,66,EL AGUILA,Norte Cartago,-76.04084,4.911111,25.39,27.25
ELNINO_0249,3568,EL CAIRO,Norte Cartago,-76.15564,4.795122,23.92,26.03
ELNINO_0250,9343,EL CAIRO,Norte Cartago,-76.15863,4.775011,23.92,26.03
ELNINO_0251,2208,EL CAIRO,Norte Cartago,-76.18031,4.804681,22.62,24.32
ELNINO_0252,2199,EL CAIRO,Norte Cartago,-76.21744,4.749567,22.71,24.47
ELNINO_0159,978,EL CAIRO,Norte Cartago,-76.19451,4.718703,22.71,24.47
ELNINO_0254,2203,EL CAIRO,Norte Cartago,-76.17342,4.738394,22.71,24.47
ELNINO_0255,2215,EL CAIRO,Norte Cartago,-76.17213,4.782008,22.62,24.32
ELNINO_0256,3570,EL CAIRO,Norte Cartago,-76.25615,4.736472,22.92,24.52
ELNINO_0257,3572,EL CAIRO,Norte Cartago,-76.17213,4.782008,22.62,24.32
ELNINO_0258,3569,EL CAIRO,Norte Cartago,-76.19888,4.776333,22.62,24.32
ELNINO_0078,961,EL CAIRO,Norte Cartago,-76.19399,4.710411,22.71,24.47
ELNINO_0260,996,EL CAIRO,Norte Cartago,-76.19875,4.729806,22.71,24.47
ELNINO_0261,1000,EL CAIRO,Norte Cartago,-76.20714,4.725494,22.71,24.47
ELNINO_0262,SD,EL CAIRO,Norte Cartago,-76.24563,4.696494,22.92,24.52
ELNINO_0263,2214,EL CAIRO,Norte Cartago,-76.16945,4.812511,22.62,24.32
ELNINO_0264,1010,EL CAIRO,Norte Cartago,-76.22921,4.731694,22.71,24.47
ELNINO_0265,3575,EL CAIRO,Norte Cartago,-76.24503,4.759461,22.92,24.52
ELNINO_0266,65,EL CAIRO,Norte Cartago,-76.22367,4.756722,22.71,24.47
ELNINO_0268,1395,EL CERRITO,Sur Cali,-76.10819,3.620778,19.26,20.71
ELNINO_0269,356,EL CERRITO,Sur Cali,-76.07344,3.692861,15.33,16.58
ELNINO_0270,40,EL CERRITO,Sur Cali,-76.26542,3.612889,25.59,28.24
ELNINO_0271,1387,EL CERRITO,Sur Cali,-76.19261,3.665556,22.71,24.9
ELNINO_0272,1390,EL CERRITO,Sur Cali,-76.19625,3.654694,22.71,24.9
ELNINO_0273,1397,EL CERRITO,Sur Cali,-76.07683,3.729944,15.05,16.61
ELNINO_0274,1396,EL CERRITO,Sur Cali,-76.08856,3.657111,19.05,21.29
ELNINO_0275,,EL CERRITO,Sur Cali,-76.19064,3.627033,23.82,26.14
ELNINO_0276,1394,EL CERRITO,Sur Cali,-76.08825,3.622417,19.26,20.71
ELNINO_0277,3041,EL CERRITO,Sur Cali,-76.18586,3.638444,22.71,24.9
ELNINO_0278,36,EL CERRITO,Sur Cali,-76.2525,3.626806,25.59,28.24
ELNINO_0279,41,EL CERRITO,Sur Cali,-76.36892,3.677333,25.41,27.33
ELNINO_0280,37,EL CERRITO,Sur Cali,-76.25706,3.673222,25.03,27.43
