ARO,Anio,Tipo_servicio_codigo,Tipo_servicio_nombre,Codigo,Fecha_envio,Fecha_recepcion,Hora_recepcion,Fecha_resultados,Tipo,Entidad_que_remite,Muestras_recibidas,Muestras_rechazadas,Estado,Pagina_manual,Fila_archivo,Muestras_recibidas_num,Muestras_rechazadas_num,Clave_ARO_Codigo,Es_codigo_valido,Fecha_envio_dt,Fecha_recepcion_dt,Fecha_resultados_dt,Es_duplicado_por_codigo
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5365-VIG,20/11/2025,20/11/2025,2:50 PM,01/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,397,3,0,Cartago|20251120-5365-VIG,True,2025-11-20,2025-11-20,2025-12-01,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5360-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,398,3,0,Cartago|20251120-5360-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5369-VIG,20/11/2025,20/11/2025,2:50 PM,01/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,399,3,0,Cartago|20251120-5369-VIG,True,2025-11-20,2025-11-20,2025-12-01,False
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260505-8118-VIG,05/05/2026,05/05/2026,2:40 PM,18/05/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,40,4,0,Cartago|20260505-8118-VIG,True,2026-05-05,2026-05-05,2026-05-18,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5368-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,400,3,0,Cartago|20251120-5368-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5366-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,401,3,0,Cartago|20251120-5366-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5358-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,402,3,0,Cartago|20251120-5358-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5357-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,403,3,0,Cartago|20251120-5357-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5359-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,404,3,0,Cartago|20251120-5359-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251120-5378-VIG,20/11/2025,20/11/2025,2:50 PM,02/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,405,3,0,Cartago|20251120-5378-VIG,True,2025-11-20,2025-11-20,2025-12-02,False
