ARO,USUARIO_ARO,CODIGO_MUESTRA,FECHA_ENVIO,FECHA_RECEPCION,HORA_RECEPCION,FECHA_RESULTADOS,TIPO,TIPO_CODIGO,ENTIDAD_QUE_REMITE,MUESTRAS_RECIBIDAS,MUESTRAS_RECHAZADAS,ESTADO,TIENE_RESULTADO,DIAS_DESDE_RECEPCION,DIAS_RESPUESTA,SEMAFORO_PENDIENTE,SEMAFORO_RESPUESTA,FECHA_CORTE,FUENTE,PAGINA,FILA_EN_PAGINA,TIPO_SERVICIO_FICHA,FECHA_TOMA_MUESTRA,NUMERO_ACTA,TIPO_MUESTRA,PUNTO_MUESTREO,LUGAR_TOMA_MUESTRA,DIRECCION,DEPARTAMENTO_PUNTO_MUESTREO,MUNICIPIO_PUNTO_MUESTREO,TIPO_LUGAR,CORREGIMIENTO_VEREDA,BARRIO,TIPO_FUENTE,NOMBRE_FUENTE,DEPARTAMENTO_ACUEDUCTO,MUNICIPIO,TIPO_ENTIDAD_PRESTADOR,PRESTADOR,TELEFONO_PRESTADOR,DIRECCION_PRESTADOR,ENTIDAD_REMITE_FICHA,MUESTRA_TOMADA_POR,OBSERVACIONES_FICHA,FECHA_FILTRO_RECEPCION_FICHA,ARO_FICHA,ARCHIVO_FICHA,LOTE_FICHA,RUTA_ARCHIVO_FICHA,MATCH_FICHA
Cartago,16232927,20260525-8472-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO CARTAGO,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Cartago,16232927,20260525-8477-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO CARTAGO,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Cartago,16232927,20260525-8480-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO CARTAGO,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Tulua,16551281,20260525-8473-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO TULUÁ,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Tulua,16551281,20260525-8474-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO TULUÁ,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Tulua,16551281,20260525-8475-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO TULUÁ,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Tulua,16551281,20260525-8476-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO TULUÁ,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Tulua,16551281,20260525-8478-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO TULUÁ,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Tulua,16551281,20260525-8482-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO TULUÁ,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
Tulua,16551281,20260525-8483-VIG,25/05/2026,25/05/2026,2:40 PM,,Agua,VIG,UESVALLE - ARO TULUÁ,4,0,Recepcionada,NO,2,,En término,No calculado,27/05/2026,https://gestion-muestras.valledelcauca.gov.co/home/simple-list-samples,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO
